subNo condition blockNo trialNo trialID currentFrequency cueTargetInterval randomPreCueInterval response responseAccuracy startTime responseTime RT
18 regular 1 1 1 63 3 0.362 slower 0 3.274745e+06 3.274749e+06 4.052
18 regular 1 2 2 55 3 0.418 slower 1 3.274751e+06 3.274755e+06 4.458
18 regular 1 3 3 65 3 0.355 slower 0 3.274757e+06 3.274761e+06 4.189
18 regular 1 4 4 53 3 0.117 slower 1 3.274763e+06 3.274767e+06 4.208
18 regular 1 5 5 55 3 0.150 faster 0 3.274768e+06 3.274772e+06 3.793
18 regular 1 6 6 67 3 0.177 faster 1 3.274773e+06 3.274777e+06 4.167
18 regular 1 7 7 53 3 0.488 slower 1 3.274778e+06 3.274782e+06 3.851
18 regular 1 8 8 55 3 0.157 faster 0 3.274783e+06 3.274786e+06 3.809
18 regular 1 9 9 54 3 0.211 faster 0 3.274787e+06 3.274791e+06 3.826
18 regular 1 10 10 67 3 0.312 slower 0 3.274792e+06 3.274796e+06 4.108
18 regular 1 11 11 52 3 0.486 slower 1 3.274798e+06 3.274801e+06 3.901
18 regular 1 12 12 52 3 0.456 slower 1 3.274803e+06 3.274807e+06 3.988
18 regular 1 13 13 53 3 0.118 slower 1 3.274807e+06 3.274812e+06 4.256
18 regular 1 14 14 53 3 0.505 faster 0 3.274813e+06 3.274817e+06 4.463
18 regular 1 15 15 68 3 0.549 faster 1 3.274819e+06 3.274823e+06 3.930
18 regular 1 16 16 53 3 0.582 slower 1 3.274824e+06 3.274828e+06 4.308
18 regular 1 17 17 53 3 0.402 faster 0 3.274829e+06 3.274833e+06 3.828
18 regular 1 18 18 68 3 0.359 slower 0 3.274834e+06 3.274838e+06 3.725
18 regular 1 19 19 51 3 0.314 faster 0 3.274839e+06 3.274843e+06 3.852
18 regular 1 20 20 50 3 0.139 slower 1 3.274843e+06 3.274848e+06 4.223
18 regular 1 21 21 69 3 0.599 faster 1 3.274849e+06 3.274853e+06 3.613
18 regular 1 22 22 69 3 0.272 faster 1 3.274854e+06 3.274858e+06 4.113
18 regular 1 23 23 68 3 0.312 slower 0 3.274859e+06 3.274863e+06 4.077
18 regular 1 24 24 69 3 0.395 faster 1 3.274864e+06 3.274868e+06 3.763
18 regular 1 25 25 69 3 0.253 faster 1 3.274869e+06 3.274873e+06 3.914
18 regular 1 26 26 68 3 0.552 slower 0 3.274874e+06 3.274878e+06 3.968
18 regular 1 27 27 51 3 0.505 slower 1 3.274879e+06 3.274883e+06 4.514
18 regular 1 28 28 51 3 0.263 slower 1 3.274885e+06 3.274889e+06 4.325
18 regular 1 29 29 68 3 0.284 slower 0 3.274890e+06 3.274894e+06 4.381
18 regular 1 30 30 69 3 0.276 faster 1 3.274895e+06 3.274899e+06 3.780
18 regular 1 31 31 51 3 0.299 slower 1 3.274900e+06 3.274904e+06 4.068
18 regular 1 32 32 68 3 0.426 faster 1 3.274905e+06 3.274909e+06 3.816
18 regular 1 33 33 68 3 0.445 faster 1 3.274910e+06 3.274914e+06 3.911
18 regular 1 34 34 67 3 0.297 faster 1 3.274915e+06 3.274919e+06 3.715
18 regular 1 35 35 53 3 0.248 faster 0 3.274921e+06 3.274925e+06 3.925
18 regular 1 36 36 68 3 0.544 faster 1 3.274927e+06 3.274931e+06 3.728
18 regular 1 37 37 67 3 0.346 faster 1 3.274932e+06 3.274936e+06 3.782
18 regular 1 38 38 53 3 0.142 slower 1 3.274936e+06 3.274940e+06 4.164
18 regular 1 39 39 66 3 0.327 faster 1 3.274941e+06 3.274945e+06 3.996
18 regular 1 40 40 66 3 0.543 faster 1 3.274947e+06 3.274951e+06 4.013
18 regular 1 41 41 55 3 0.344 faster 0 3.274952e+06 3.274955e+06 3.750
18 regular 1 42 42 66 3 0.552 faster 1 3.274957e+06 3.274961e+06 3.748
18 regular 1 43 43 66 3 0.551 slower 0 3.274962e+06 3.274967e+06 4.115
18 regular 1 44 44 53 3 0.109 slower 1 3.274967e+06 3.274971e+06 3.820
18 regular 1 45 45 66 3 0.494 faster 1 3.274972e+06 3.274976e+06 3.889
18 regular 1 46 46 66 3 0.331 faster 1 3.274977e+06 3.274981e+06 4.107
18 regular 1 47 47 55 3 0.144 slower 1 3.274982e+06 3.274986e+06 4.270
18 regular 1 48 48 65 3 0.344 faster 1 3.274987e+06 3.274991e+06 3.715
18 regular 1 49 49 56 3 0.470 slower 1 3.274992e+06 3.274996e+06 3.959
18 regular 1 50 50 56 3 0.587 faster 0 3.274997e+06 3.275001e+06 3.916
18 regular 1 51 51 65 3 0.229 faster 1 3.275002e+06 3.275006e+06 3.969
18 regular 1 52 52 64 3 0.228 faster 1 3.275007e+06 3.275011e+06 3.815
18 regular 1 53 53 56 3 0.537 faster 0 3.275012e+06 3.275016e+06 4.071
18 regular 1 54 54 55 3 0.300 slower 1 3.275017e+06 3.275021e+06 3.973
18 regular 1 55 55 56 3 0.149 faster 0 3.275022e+06 3.275025e+06 3.785
18 regular 1 56 56 55 3 0.357 slower 1 3.275027e+06 3.275031e+06 4.255
18 regular 1 57 57 55 3 0.438 faster 0 3.275032e+06 3.275036e+06 4.110
18 regular 1 58 58 66 3 0.319 faster 1 3.275037e+06 3.275041e+06 3.880
18 regular 1 59 59 55 3 0.310 slower 1 3.275042e+06 3.275046e+06 4.174
18 regular 1 60 60 65 3 0.560 faster 1 3.275047e+06 3.275051e+06 3.975
18 regular 1 61 61 64 3 0.259 faster 1 3.275052e+06 3.275056e+06 3.996
18 regular 1 62 62 64 3 0.464 slower 0 3.275057e+06 3.275061e+06 3.868
18 regular 1 63 63 55 3 0.137 faster 0 3.275062e+06 3.275066e+06 3.818
18 regular 1 64 64 54 3 0.366 faster 0 3.275067e+06 3.275071e+06 3.939
18 regular 1 65 65 67 3 0.108 slower 0 3.275073e+06 3.275077e+06 4.471
18 regular 1 66 66 52 3 0.176 slower 1 3.275078e+06 3.275082e+06 4.033
18 regular 1 67 67 67 3 0.493 faster 1 3.275084e+06 3.275087e+06 3.685
18 regular 1 68 68 53 3 0.160 slower 1 3.275089e+06 3.275093e+06 4.163
18 regular 1 69 69 66 3 0.223 faster 1 3.275094e+06 3.275097e+06 3.784
18 regular 1 70 70 66 3 0.178 faster 1 3.275098e+06 3.275102e+06 3.884
18 regular 1 71 71 55 3 0.588 slower 1 3.275103e+06 3.275107e+06 3.811
18 regular 1 72 72 55 3 0.279 faster 0 3.275108e+06 3.275112e+06 4.085
18 regular 1 73 73 66 3 0.404 faster 1 3.275113e+06 3.275117e+06 3.917
18 regular 1 74 74 65 3 0.419 faster 1 3.275118e+06 3.275122e+06 4.109
18 regular 1 75 75 55 3 0.364 faster 0 3.275123e+06 3.275128e+06 5.014
18 regular 1 76 76 66 3 0.368 faster 1 3.275130e+06 3.275134e+06 4.405
18 regular 1 77 77 55 3 0.540 slower 1 3.275135e+06 3.275139e+06 4.094
18 regular 1 78 78 55 3 0.316 slower 1 3.275140e+06 3.275144e+06 4.049
18 regular 1 79 79 64 3 0.193 faster 1 3.275145e+06 3.275149e+06 3.878
18 regular 1 80 80 64 3 0.212 faster 1 3.275150e+06 3.275154e+06 4.009
18 regular 1 81 81 57 3 0.372 faster 0 3.275155e+06 3.275159e+06 4.101
18 regular 1 82 82 64 3 0.523 slower 0 3.275160e+06 3.275165e+06 4.342
18 regular 1 83 83 65 3 0.387 faster 1 3.275166e+06 3.275169e+06 3.843
18 regular 1 84 84 65 3 0.304 faster 1 3.275170e+06 3.275174e+06 4.005
18 regular 1 85 85 64 3 0.120 faster 1 3.275175e+06 3.275179e+06 3.941
18 regular 1 86 86 64 3 0.140 faster 1 3.275180e+06 3.275184e+06 4.091
18 regular 1 87 87 57 3 0.138 faster 0 3.275185e+06 3.275189e+06 4.424
18 regular 1 88 88 56 3 0.333 faster 0 3.275190e+06 3.275194e+06 4.140
18 regular 1 89 89 55 3 0.379 slower 1 3.275195e+06 3.275199e+06 3.983
18 regular 1 90 90 55 3 0.542 faster 0 3.275201e+06 3.275205e+06 3.986
18 regular 1 91 91 66 3 0.539 faster 1 3.275206e+06 3.275210e+06 3.999
18 regular 1 92 92 65 3 0.173 slower 0 3.275211e+06 3.275215e+06 4.103
18 regular 1 93 93 54 3 0.516 faster 0 3.275216e+06 3.275220e+06 3.958
18 regular 1 94 94 67 3 0.315 slower 0 3.275221e+06 3.275225e+06 3.835
18 regular 1 95 95 52 3 0.442 slower 1 3.275226e+06 3.275230e+06 4.047
18 regular 1 96 96 52 3 0.489 faster 0 3.275231e+06 3.275235e+06 3.746
18 regular 1 97 97 51 3 0.396 slower 1 3.275236e+06 3.275240e+06 3.873
